stop_id,stop_name,stop_lat,stop_lon,stop_code
"2@C0692_600","Pontetetto 2","43.8224207878493","10.4936862127075","2@C0692"
"2@C0693_600","Villa Pastore 2","43.8057194127575","10.4843343399226","2@C0693"
"2@C0694_600","San Lorenzo Vaccoli 2","43.8014592427953","10.4844463869674","2@C0694"
"2@C0752_600","Monte San Quirico 1","43.8559842005919","10.5078825376764","2@C0752"
"2@C0756_600","Ponte Freddana 1","43.8647248029819","10.5087033274498","2@C0756"
"2@C0757_600","Via Camaiore","43.8613640018703","10.5082094714066","2@C0757"
"2@C0758_600","Via Camaiore Parcheggio","43.8594693888699","10.5064554210166","2@C0758"
"2@C0759_600","Monte San Quirico 2","43.8560015791412","10.5075890208832","2@C0759"
"2@C0760_600","Via B.Go Giannotti Rist.Pergola","43.8539738173477","10.5074729152834","2@C0760"
"2@C0761_600","Borgo Giannotti Croce 1","43.8516653831303","10.5071650652951","2@C0761"
"2@C0763_600","Via B.Go Giannotti Posta","43.8493684782769","10.5067158644585","2@C0763"
"2@C0764_600","Via Pisana Civ.1588","43.8418041198507","10.47263690651","2@C0764"
"2@C0765_600","Via Pisana Civ.218","43.841591348019","10.4687069960116","2@C0765"
"2@C0770_600","Via Pisana Ang.S.Angelo","43.8411271209328","10.464013708518","2@C0770"
"2@C0772_600","Via Pisana Ponte Autostrada","43.8406065245862","10.4593128996408","2@C0772"
"2@C0773_600","Via Pisana","43.84066293004","10.450995457105","2@C0773"
"2@C0774_600","Montuolo 1","43.8396464601812","10.4459500692187","2@C0774"
"2@C0775_600","Via Pisana Civ.4062","43.8391458599723","10.4442416033688","2@C0775"
"2@C0777_600","Via Pisana Stazione","43.837823199263","10.4420344650653","2@C0777"
"2@C0778_600","Via Pisana Civ.4877","43.8353135124112","10.4357735509917","2@C0778"
"2@C0783_600","Via Pisana Civ.4877","43.8351081718691","10.4356349160548","2@C0783"
"2@C0784_600","Via Pisana Stazione","43.8375602345172","10.4414683888544","2@C0784"
"2@C0785_600","Montuolo 2","43.8394063398107","10.446426284113","2@C0785"
"2@C0786_600","Via Pisana Chiesa","43.8389217625086","10.4441631177865","2@C0786"
"2@C0787_600","Via Pisana Civ.3441","43.8404662940474","10.4508818466931","2@C0787"
"2@C0788_600","Fagnano 2","43.840231962507","10.4544415712075","2@C0788"
"2@C0789_600","Via Pisana Ponte Autostrada","43.8405217055295","10.4596093756059","2@C0789"
"2@C0790_600","Via Pisana Rist.Giorgia","43.8409571558095","10.4625214867936","2@C0790"
"2@C0791_600","Pisana Bivio S.Angelo","43.8410467246657","10.4650177811886","2@C0791"
"2@C0796_600","Via Pisana Farmacia","43.8414387967076","10.4681419199486","2@C0796"
"2@C0797_600","Via Pisana Ang.Bozzo","43.8417386178128","10.4724798003283","2@C0797"
"2@C0852_600","Via Nottolini Fontana","43.8322985297035","10.5161834734853","2@C0852"
"2@C0853_600","Via Nottolini Scuole Elem.","43.8312512438102","10.5160605650975","2@C0853"
"2@C0854_600","Via Nottolini Scuole Elem.","43.8310806914257","10.5163609619028","2@C0854"
"2@C0857_600","Via Sorbano V.Civ.936","43.8268466102801","10.5212827464741","2@C0857"
"2@C0858_600","Via Sorbano V Civ.936","43.8268882401396","10.5215371971469","2@C0858"
"2@C0862_600","Via Sorbano V.Chiesa","43.825217294539","10.5259841877331","2@C0862"
"2@C0878_600","Via Ss.Annunziata Pass.Livello","43.8582598886559","10.5239960334704","2@C0878"
"2@C0882_600","Via Lombarda Scuole","43.8677264442565","10.5620450591905","2@C0882"
"2@C0887_600","Via Liso Capolinea","43.8623328501273","10.5653698023791","2@C0887"
"2@C0888_600","Via Lombarda C.Te Ceccarelli","43.8831608173537","10.5514974068632","2@C0888"
"2@C0889_600","Via Lombarda C.Te Ceccarelli","43.8829182005823","10.5513373746228","2@C0889"
"2@C0890_600","Loc.Spadoni","43.8844123104944","10.5473142311327","2@C0890"
